"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","68","947","172","27","337","Sinistral"
"2","586","947","145","26","346","Dextral"
"3","345","943","205","28","350","Dextral"
"4","941","899","212","29","7","Sinistral"
"5","781","824","196","28","4","Sinistral"
"6","407","771","179","27","344","Dextral"
"7","215","735","113","24","355","Sinistral"
"8","51","671","210","29","14","Sinistral"
"9","844","657","162","27","346","Dextral"
"10","589","643","150","26","7","Dextral"
"11","501","475","116","24","11","Dextral"
"12","170","445","178","27","1","Dextral"
"13","829","442","152","26","2","Sinistral"
"14","347","316","177","27","357","Sinistral"
"15","86","273","208","29","353","Sinistral"
"16","571","217","150","26","4","Sinistral"
"17","881","194","132","25","13","Sinistral"
"18","146","107","137","25","341","Sinistral"
"19","653","38","139","26","358","Sinistral"
"20","338","32","163","27","7","Sinistral"
