"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","602","871","148","26","348","Sinistral"
"2","48","840","183","28","346","Dextral"
"3","839","818","141","26","14","Dextral"
"4","407","784","117","24","12","Dextral"
"5","218","767","201","28","355","Dextral"
"6","593","693","146","26","352","Dextral"
"7","28","648","179","27","326","Dextral"
"8","926","628","185","28","18","Sinistral"
"9","403","533","144","26","350","Dextral"
"10","164","497","173","27","6","Dextral"
"11","698","444","153","26","353","Dextral"
"12","893","414","178","27","13","Dextral"
"13","513","337","211","29","354","Dextral"
"14","68","289","119","24","19","Sinistral"
"15","316","253","163","27","353","Dextral"
"16","836","240","165","27","13","Sinistral"
"17","590","176","140","26","356","Sinistral"
"18","398","68","175","27","338","Dextral"
"19","849","45","209","29","355","Sinistral"
"20","188","40","144","26","1","Sinistral"
