"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","907","920","177","27","345","Dextral"
"2","439","851","129","25","7","Sinistral"
"3","668","811","97","23","342","Dextral"
"4","99","805","137","25","356","Sinistral"
"5","936","727","100","23","335","Dextral"
"6","329","679","172","27","343","Dextral"
"7","562","651","159","27","14","Dextral"
"8","744","628","186","28","21","Dextral"
"9","128","580","195","28","354","Sinistral"
"10","589","465","240","30","13","Sinistral"
"11","41","426","169","27","2","Dextral"
"12","305","422","157","26","4","Sinistral"
"13","889","404","159","27","8","Dextral"
"14","424","257","166","27","355","Sinistral"
"15","154","250","142","26","19","Sinistral"
"16","720","207","141","26","4","Dextral"
"17","925","80","184","28","359","Dextral"
"18","73","42","194","28","350","Dextral"
"19","349","36","185","28","353","Sinistral"
"20","652","29","163","27","329","Dextral"
