"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","91","939","145","26","354","Dextral"
"2","322","933","130","25","24","Sinistral"
"3","791","922","215","29","22","Dextral"
"4","561","905","151","26","342","Dextral"
"5","950","797","159","27","4","Sinistral"
"6","573","719","170","27","356","Dextral"
"7","755","708","178","27","355","Sinistral"
"8","134","649","186","28","1","Dextral"
"9","381","627","116","24","355","Dextral"
"10","528","500","159","27","338","Sinistral"
"11","918","491","167","27","3","Sinistral"
"12","718","468","197","28","359","Sinistral"
"13","106","439","204","28","349","Sinistral"
"14","310","367","198","28","3","Dextral"
"15","579","307","198","28","5","Sinistral"
"16","790","248","172","27","340","Dextral"
"17","177","223","146","26","27","Sinistral"
"18","403","173","171","27","10","Dextral"
"19","75","54","155","26","359","Dextral"
"20","744","43","180","28","10","Sinistral"
