"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","279","940","187","28","351","Dextral"
"2","102","924","167","27","351","Sinistral"
"3","486","917","204","28","351","Dextral"
"4","873","862","176","27","352","Dextral"
"5","651","825","149","26","350","Dextral"
"6","240","758","166","27","337","Sinistral"
"7","27","754","191","28","7","Sinistral"
"8","467","623","155","26","7","Sinistral"
"9","929","573","229","29","15","Dextral"
"10","656","549","133","25","353","Dextral"
"11","131","525","143","26","359","Dextral"
"12","285","417","145","26","357","Dextral"
"13","897","382","176","27","357","Sinistral"
"14","27","311","182","28","352","Sinistral"
"15","627","253","174","27","12","Dextral"
"16","202","212","150","26","352","Sinistral"
"17","420","183","150","26","348","Sinistral"
"18","903","92","131","25","19","Sinistral"
"19","696","87","194","28","3","Sinistral"
"20","151","41","180","27","11","Sinistral"
