"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","659","949","208","29","340","Dextral"
"2","403","926","138","25","358","Sinistral"
"3","126","900","137","25","2","Dextral"
"4","938","854","211","29","351","Dextral"
"5","776","789","145","26","8","Dextral"
"6","271","763","181","28","11","Dextral"
"7","448","748","97","23","355","Sinistral"
"8","67","658","232","29","344","Dextral"
"9","568","553","137","25","355","Dextral"
"10","272","548","167","27","12","Sinistral"
"11","816","529","185","28","358","Sinistral"
"12","106","315","147","26","345","Sinistral"
"13","831","306","176","27","15","Dextral"
"14","447","298","136","25","358","Dextral"
"15","635","288","171","27","355","Sinistral"
"16","913","136","188","28","356","Dextral"
"17","102","125","128","25","343","Sinistral"
"18","731","123","168","27","13","Sinistral"
"19","304","72","134","25","1","Sinistral"
"20","531","29","148","26","354","Sinistral"
