"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","773","948","180","28","8","Sinistral"
"2","206","837","152","26","8","Dextral"
"3","910","811","81","21","354","Dextral"
"4","680","774","163","27","357","Dextral"
"5","399","769","150","26","2","Dextral"
"6","60","646","171","27","9","Dextral"
"7","508","575","164","27","349","Dextral"
"8","750","556","152","26","359","Dextral"
"9","241","539","138","25","349","Sinistral"
"10","74","442","186","28","348","Dextral"
"11","931","435","180","27","337","Sinistral"
"12","371","418","125","25","25","Dextral"
"13","575","378","167","27","25","Sinistral"
"14","178","293","108","24","9","Dextral"
"15","730","266","126","25","10","Dextral"
"16","527","208","118","24","4","Dextral"
"17","68","128","184","28","21","Sinistral"
"18","847","110","145","26","7","Sinistral"
"19","276","82","133","25","36","Sinistral"
"20","649","79","148","26","11","Dextral"
