"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","498","942","165","27","328","Dextral"
"2","818","935","158","26","348","Sinistral"
"3","136","869","106","23","342","Sinistral"
"4","676","829","185","28","8","Sinistral"
"5","347","810","138","25","345","Sinistral"
"6","513","753","247","30","350","Dextral"
"7","713","658","146","26","1","Dextral"
"8","880","603","130","25","33","Dextral"
"9","116","545","96","23","355","Sinistral"
"10","531","514","102","23","350","Dextral"
"11","299","413","178","27","10","Dextral"
"12","811","375","138","25","30","Sinistral"
"13","459","316","133","25","356","Sinistral"
"14","56","287","164","27","2","Dextral"
"15","940","228","130","25","3","Dextral"
"16","300","203","109","24","355","Sinistral"
"17","629","153","176","27","11","Dextral"
"18","99","83","142","26","11","Sinistral"
"19","804","80","141","26","341","Dextral"
"20","411","30","121","24","7","Sinistral"
