"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","643","949","196","28","5","Sinistral"
"2","130","933","202","28","11","Dextral"
"3","380","856","140","26","1","Dextral"
"4","919","815","174","27","11","Sinistral"
"5","682","744","155","26","0","Dextral"
"6","101","737","164","27","21","Dextral"
"7","362","678","238","30","1","Sinistral"
"8","895","640","176","27","347","Dextral"
"9","201","590","217","29","353","Sinistral"
"10","34","523","217","29","23","Sinistral"
"11","489","507","122","24","355","Dextral"
"12","697","431","137","25","352","Sinistral"
"13","187","391","104","23","356","Dextral"
"14","941","377","208","29","0","Sinistral"
"15","389","339","192","28","352","Sinistral"
"16","790","225","141","26","20","Dextral"
"17","579","119","126","25","345","Dextral"
"18","379","90","192","28","1","Sinistral"
"19","86","83","173","27","358","Sinistral"
"20","907","37","116","24","1","Sinistral"
