"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","232","941","116","24","1","Dextral"
"2","531","899","131","25","356","Sinistral"
"3","879","837","122","25","356","Sinistral"
"4","55","743","137","25","11","Sinistral"
"5","355","672","130","25","4","Sinistral"
"6","587","648","140","26","21","Sinistral"
"7","863","592","177","27","13","Dextral"
"8","277","510","190","28","39","Sinistral"
"9","466","506","161","27","2","Dextral"
"10","677","468","106","23","356","Sinistral"
"11","108","452","141","26","6","Dextral"
"12","294","321","168","27","356","Sinistral"
"13","114","266","129","25","14","Sinistral"
"14","666","243","156","26","346","Dextral"
"15","888","236","132","25","355","Dextral"
"16","468","184","137","25","360","Dextral"
"17","32","90","189","28","335","Dextral"
"18","746","85","185","28","9","Sinistral"
"19","938","28","191","28","6","Dextral"
"20","234","26","164","27","341","Dextral"
