"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","649","931","208","29","357","Sinistral"
"2","826","923","175","27","7","Dextral"
"3","457","904","178","27","32","Dextral"
"4","151","876","171","27","352","Sinistral"
"5","626","758","132","25","12","Sinistral"
"6","927","755","62","19","354","Sinistral"
"7","347","689","150","26","12","Sinistral"
"8","131","626","167","27","358","Sinistral"
"9","867","558","189","28","12","Sinistral"
"10","450","543","188","28","353","Dextral"
"11","657","522","141","26","354","Dextral"
"12","257","459","155","26","3","Sinistral"
"13","36","414","197","28","6","Dextral"
"14","732","359","161","27","11","Dextral"
"15","929","323","193","28","357","Dextral"
"16","425","251","169","27","34","Sinistral"
"17","121","179","141","26","6","Dextral"
"18","937","147","160","27","5","Sinistral"
"19","690","130","155","26","333","Dextral"
"20","392","46","191","28","15","Dextral"
