"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","877","860","108","24","350","Dextral"
"2","29","825","164","27","359","Sinistral"
"3","419","807","186","28","1","Sinistral"
"4","597","782","197","28","11","Dextral"
"5","229","735","137","25","333","Dextral"
"6","54","630","201","28","357","Sinistral"
"7","806","585","179","27","13","Dextral"
"8","512","551","151","26","2","Dextral"
"9","273","512","202","28","10","Sinistral"
"10","130","397","131","25","341","Sinistral"
"11","920","350","188","28","1","Dextral"
"12","411","349","186","28","10","Sinistral"
"13","618","335","145","26","13","Dextral"
"14","32","250","166","27","11","Dextral"
"15","255","249","150","26","15","Dextral"
"16","485","160","219","29","347","Dextral"
"17","669","126","181","28","336","Dextral"
"18","877","121","161","27","352","Dextral"
"19","122","63","208","29","8","Dextral"
"20","319","49","167","27","356","Dextral"
