"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","160","939","168","27","354","Sinistral"
"2","519","936","190","28","360","Dextral"
"3","928","900","196","28","360","Sinistral"
"4","706","852","138","25","335","Sinistral"
"5","176","739","172","27","349","Sinistral"
"6","940","724","145","26","325","Sinistral"
"7","508","717","185","28","355","Sinistral"
"8","375","588","162","27","360","Dextral"
"9","662","564","144","26","10","Dextral"
"10","92","505","187","28","325","Dextral"
"11","519","462","181","28","19","Dextral"
"12","305","387","141","26","339","Dextral"
"13","906","362","177","27","349","Dextral"
"14","582","261","136","25","7","Dextral"
"15","230","209","148","26","357","Sinistral"
"16","34","145","165","27","321","Dextral"
"17","904","140","154","26","4","Sinistral"
"18","344","73","136","25","14","Dextral"
"19","735","30","228","29","2","Dextral"
"20","539","27","156","26","351","Dextral"
