"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","829","946","116","24","11","Dextral"
"2","301","908","135","25","338","Sinistral"
"3","553","892","100","23","2","Sinistral"
"4","25","790","190","28","344","Sinistral"
"5","912","771","173","27","351","Sinistral"
"6","692","750","167","27","3","Sinistral"
"7","469","721","140","26","326","Dextral"
"8","164","619","150","26","16","Dextral"
"9","360","499","163","27","2","Sinistral"
"10","896","444","172","27","26","Sinistral"
"11","566","423","197","28","334","Sinistral"
"12","299","329","172","27","4","Dextral"
"13","784","292","137","25","9","Dextral"
"14","39","275","176","27","348","Sinistral"
"15","532","238","155","26","7","Dextral"
"16","946","180","181","28","13","Sinistral"
"17","197","137","139","26","14","Sinistral"
"18","414","60","192","28","23","Dextral"
"19","644","45","170","27","6","Sinistral"
"20","38","43","166","27","15","Dextral"
