"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","154","930","172","27","360","Sinistral"
"2","808","898","145","26","344","Sinistral"
"3","505","799","183","28","349","Dextral"
"4","296","784","143","26","359","Dextral"
"5","38","767","213","29","13","Dextral"
"6","711","675","158","27","354","Dextral"
"7","906","646","214","29","17","Sinistral"
"8","526","618","138","25","14","Dextral"
"9","131","573","140","26","12","Dextral"
"10","348","504","144","26","7","Sinistral"
"11","886","467","153","26","345","Sinistral"
"12","660","464","214","29","11","Dextral"
"13","48","383","190","28","352","Sinistral"
"14","230","341","172","27","355","Sinistral"
"15","581","288","151","26","4","Sinistral"
"16","872","284","148","26","2","Sinistral"
"17","368","174","93","22","13","Sinistral"
"18","127","173","157","26","345","Dextral"
"19","778","120","132","25","342","Sinistral"
"20","553","71","151","26","2","Sinistral"
