"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","277","940","142","26","355","Sinistral"
"2","849","938","251","30","0","Dextral"
"3","31","906","161","27","356","Sinistral"
"4","642","897","125","25","353","Sinistral"
"5","440","849","116","24","344","Sinistral"
"6","909","758","206","29","359","Dextral"
"7","248","735","175","27","6","Dextral"
"8","74","652","96","23","356","Sinistral"
"9","503","603","185","28","354","Sinistral"
"10","861","570","163","27","4","Sinistral"
"11","629","472","161","27","14","Sinistral"
"12","105","458","186","28","357","Dextral"
"13","289","383","174","27","337","Sinistral"
"14","126","284","143","26","11","Sinistral"
"15","760","272","195","28","356","Sinistral"
"16","446","261","224","29","357","Dextral"
"17","929","195","152","26","358","Sinistral"
"18","546","106","191","28","355","Sinistral"
"19","217","101","193","28","359","Sinistral"
"20","820","52","170","27","357","Dextral"
