"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","50","902","189","28","21","Sinistral"
"2","821","885","170","27","339","Sinistral"
"3","628","885","114","24","354","Dextral"
"4","327","836","84","22","2","Dextral"
"5","474","731","142","26","13","Dextral"
"6","895","706","138","25","359","Sinistral"
"7","673","656","126","25","5","Dextral"
"8","55","576","145","26","357","Sinistral"
"9","533","547","149","26","6","Dextral"
"10","818","527","208","29","347","Dextral"
"11","245","497","126","25","349","Sinistral"
"12","923","372","157","26","4","Sinistral"
"13","45","332","116","24","18","Dextral"
"14","647","321","141","26","360","Sinistral"
"15","479","264","118","24","17","Dextral"
"16","251","187","132","25","17","Dextral"
"17","818","145","136","25","19","Dextral"
"18","626","125","165","27","357","Dextral"
"19","390","60","190","28","347","Dextral"
"20","105","60","169","27","4","Sinistral"
