"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","412","942","212","29","350","Sinistral"
"2","638","919","148","26","358","Dextral"
"3","902","906","138","25","355","Dextral"
"4","48","820","148","26","9","Dextral"
"5","312","779","143","26","18","Dextral"
"6","624","724","195","28","356","Sinistral"
"7","805","724","166","27","7","Dextral"
"8","137","625","138","25","356","Dextral"
"9","477","620","148","26","355","Sinistral"
"10","884","483","180","28","356","Sinistral"
"11","270","471","190","28","1","Dextral"
"12","581","470","172","27","0","Dextral"
"13","720","359","86","22","342","Dextral"
"14","341","280","135","25","20","Dextral"
"15","519","252","188","28","1","Sinistral"
"16","59","238","154","26","346","Sinistral"
"17","587","90","143","26","31","Sinistral"
"18","347","90","125","25","10","Sinistral"
"19","87","52","173","27","1","Dextral"
"20","942","39","168","27","15","Dextral"
