"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","150","948","156","26","1","Dextral"
"2","871","937","159","27","353","Sinistral"
"3","495","860","159","27","33","Dextral"
"4","315","791","199","28","6","Dextral"
"5","63","754","141","26","352","Sinistral"
"6","917","744","172","27","349","Sinistral"
"7","699","728","133","25","23","Dextral"
"8","488","558","111","24","354","Dextral"
"9","942","553","183","28","5","Sinistral"
"10","40","509","178","27","6","Sinistral"
"11","317","506","118","24","8","Sinistral"
"12","810","381","150","26","354","Sinistral"
"13","592","276","167","27","356","Dextral"
"14","330","244","180","27","10","Dextral"
"15","92","238","97","23","353","Dextral"
"16","909","156","177","27","356","Dextral"
"17","558","86","253","30","12","Dextral"
"18","43","56","203","28","339","Dextral"
"19","272","52","102","23","353","Dextral"
"20","758","40","147","26","338","Sinistral"
