"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","625","950","112","24","0","Sinistral"
"2","331","927","146","26","341","Sinistral"
"3","867","912","205","28","352","Dextral"
"4","64","744","143","26","355","Sinistral"
"5","910","735","192","28","2","Dextral"
"6","520","729","190","28","359","Dextral"
"7","712","711","205","28","355","Dextral"
"8","313","665","139","26","353","Sinistral"
"9","840","537","173","27","1","Sinistral"
"10","49","531","207","29","8","Sinistral"
"11","586","439","86","22","6","Dextral"
"12","381","369","135","25","13","Sinistral"
"13","205","362","197","28","359","Dextral"
"14","946","347","221","29","342","Sinistral"
"15","35","310","190","28","357","Sinistral"
"16","693","291","123","25","353","Sinistral"
"17","145","173","168","27","10","Sinistral"
"18","458","158","153","26","360","Dextral"
"19","857","149","147","26","354","Sinistral"
"20","655","64","189","28","358","Dextral"
