"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","836","913","152","26","12","Dextral"
"2","505","897","173","27","348","Sinistral"
"3","184","885","131","25","356","Dextral"
"4","73","749","191","28","333","Dextral"
"5","909","732","187","28","6","Dextral"
"6","696","720","118","24","8","Sinistral"
"7","488","687","130","25","17","Dextral"
"8","243","686","138","25","352","Sinistral"
"9","843","506","164","27","7","Dextral"
"10","412","427","144","26","16","Dextral"
"11","660","426","119","24","337","Dextral"
"12","93","392","144","26","354","Dextral"
"13","261","275","108","24","360","Dextral"
"14","764","260","149","26","358","Dextral"
"15","61","203","197","28","3","Sinistral"
"16","551","177","184","28","336","Sinistral"
"17","940","134","170","27","1","Dextral"
"18","390","79","177","27","357","Dextral"
"19","156","46","151","26","7","Sinistral"
"20","705","39","145","26","348","Sinistral"
