"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","584","930","149","26","350","Sinistral"
"2","396","913","234","30","356","Sinistral"
"3","758","903","159","27","344","Sinistral"
"4","99","885","176","27","18","Dextral"
"5","248","775","145","26","359","Dextral"
"6","902","760","112","24","9","Dextral"
"7","517","733","136","25","21","Dextral"
"8","748","657","172","27","348","Dextral"
"9","47","656","200","28","360","Dextral"
"10","372","550","154","26","11","Sinistral"
"11","617","537","249","30","10","Sinistral"
"12","947","409","213","29","6","Sinistral"
"13","668","342","168","27","26","Dextral"
"14","474","342","153","26","354","Sinistral"
"15","177","338","131","25","8","Dextral"
"16","923","221","182","28","16","Sinistral"
"17","319","209","194","28","347","Sinistral"
"18","42","131","201","28","342","Dextral"
"19","600","50","133","25","8","Sinistral"
"20","822","48","195","28","4","Dextral"
