"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","611","942","225","29","354","Dextral"
"2","31","902","156","26","17","Dextral"
"3","401","890","142","26","346","Dextral"
"4","769","847","148","26","17","Dextral"
"5","130","741","153","26","10","Sinistral"
"6","473","728","175","27","355","Sinistral"
"7","842","681","164","27","3","Sinistral"
"8","567","576","129","25","356","Sinistral"
"9","356","573","176","27","6","Sinistral"
"10","26","573","179","27","349","Sinistral"
"11","863","446","102","23","10","Sinistral"
"12","359","393","166","27","3","Dextral"
"13","97","390","146","26","20","Sinistral"
"14","650","384","145","26","353","Sinistral"
"15","222","261","181","28","4","Sinistral"
"16","516","188","142","26","343","Sinistral"
"17","31","109","133","25","349","Sinistral"
"18","775","100","124","25","7","Dextral"
"19","274","92","157","26","347","Sinistral"
"20","942","28","189","28","19","Sinistral"
