"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","880","926","196","28","345","Dextral"
"2","370","881","190","28","8","Dextral"
"3","661","834","148","26","349","Sinistral"
"4","52","823","176","27","344","Dextral"
"5","877","720","147","26","352","Sinistral"
"6","513","717","200","28","359","Dextral"
"7","303","635","164","27","1","Dextral"
"8","91","606","145","26","354","Dextral"
"9","802","457","160","27","359","Dextral"
"10","29","416","231","29","0","Sinistral"
"11","501","406","170","27","357","Sinistral"
"12","207","380","183","28","21","Dextral"
"13","921","286","222","29","346","Dextral"
"14","630","261","160","27","356","Dextral"
"15","67","233","210","29","348","Sinistral"
"16","270","208","168","27","8","Sinistral"
"17","793","145","116","24","1","Dextral"
"18","390","80","218","29","8","Sinistral"
"19","166","49","208","29","349","Dextral"
"20","574","29","196","28","353","Sinistral"
