"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","917","946","178","27","359","Dextral"
"2","29","936","206","29","2","Sinistral"
"3","208","915","202","28","11","Sinistral"
"4","716","906","93","22","356","Sinistral"
"5","414","852","106","23","334","Dextral"
"6","141","739","178","27","8","Dextral"
"7","640","663","114","24","358","Dextral"
"8","875","596","158","27","347","Sinistral"
"9","409","589","182","28","0","Dextral"
"10","60","560","153","26","13","Dextral"
"11","720","501","180","27","6","Dextral"
"12","287","457","122","25","10","Dextral"
"13","903","395","199","28","1","Dextral"
"14","525","374","164","27","10","Dextral"
"15","120","354","157","26","20","Sinistral"
"16","722","303","122","24","6","Dextral"
"17","379","226","174","27","352","Sinistral"
"18","191","89","128","25","2","Dextral"
"19","663","78","192","28","357","Dextral"
"20","851","29","178","27","4","Dextral"
