"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","340","942","122","25","0","Dextral"
"2","524","904","135","25","6","Dextral"
"3","794","872","137","25","21","Sinistral"
"4","169","870","189","28","25","Sinistral"
"5","464","729","109","24","347","Dextral"
"6","721","668","144","26","38","Sinistral"
"7","101","621","125","25","8","Dextral"
"8","915","606","237","30","338","Dextral"
"9","493","538","178","27","3","Dextral"
"10","274","495","236","30","4","Sinistral"
"11","760","492","176","27","12","Sinistral"
"12","66","368","173","27","351","Sinistral"
"13","374","345","154","26","5","Dextral"
"14","651","312","188","28","359","Sinistral"
"15","890","253","98","23","12","Dextral"
"16","225","200","136","25","4","Dextral"
"17","561","142","109","24","14","Sinistral"
"18","394","64","200","28","355","Sinistral"
"19","125","40","158","26","4","Dextral"
"20","822","28","144","26","348","Sinistral"
