"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","480","921","207","29","16","Dextral"
"2","144","908","182","28","345","Sinistral"
"3","859","851","145","26","3","Sinistral"
"4","640","808","153","26","26","Sinistral"
"5","315","738","204","28","355","Sinistral"
"6","771","670","200","28","3","Sinistral"
"7","156","643","173","27","352","Dextral"
"8","501","631","171","27","20","Dextral"
"9","923","576","150","26","359","Sinistral"
"10","295","470","184","28","8","Dextral"
"11","489","451","188","28","339","Sinistral"
"12","69","333","142","26","356","Sinistral"
"13","845","310","153","26","359","Sinistral"
"14","599","308","134","25","13","Sinistral"
"15","249","285","211","29","345","Dextral"
"16","407","174","111","24","339","Dextral"
"17","948","152","175","27","350","Dextral"
"18","215","54","175","27","358","Sinistral"
"19","565","40","190","28","343","Dextral"
"20","811","34","184","28","18","Dextral"
