"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","458","942","209","29","2","Sinistral"
"2","816","938","170","27","19","Sinistral"
"3","620","840","148","26","357","Sinistral"
"4","320","829","131","25","2","Sinistral"
"5","65","803","138","25","8","Sinistral"
"6","941","792","176","27","12","Dextral"
"7","252","648","123","25","21","Dextral"
"8","427","631","192","28","24","Dextral"
"9","608","609","97","23","351","Dextral"
"10","79","606","149","26","12","Dextral"
"11","855","587","156","26","357","Sinistral"
"12","204","415","125","25","27","Sinistral"
"13","490","398","136","25","356","Sinistral"
"14","816","352","172","27","351","Sinistral"
"15","593","236","106","23","0","Dextral"
"16","248","223","180","27","336","Sinistral"
"17","89","145","166","27","330","Sinistral"
"18","835","126","133","25","1","Sinistral"
"19","438","111","136","25","21","Dextral"
"20","661","37","185","28","21","Sinistral"
