"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","91","910","196","28","360","Sinistral"
"2","780","905","118","24","346","Dextral"
"3","562","834","195","28","13","Dextral"
"4","378","825","136","25","5","Dextral"
"5","924","763","173","27","10","Dextral"
"6","153","721","138","25","12","Sinistral"
"7","654","668","168","27","358","Sinistral"
"8","386","616","189","28","8","Dextral"
"9","889","557","119","24","353","Sinistral"
"10","31","533","212","29","358","Dextral"
"11","273","469","167","27","354","Sinistral"
"12","561","460","159","27","355","Sinistral"
"13","56","330","173","27","35","Dextral"
"14","660","287","142","26","360","Dextral"
"15","858","215","150","26","4","Sinistral"
"16","230","204","106","23","358","Sinistral"
"17","424","204","159","27","34","Dextral"
"18","590","92","123","25","22","Sinistral"
"19","312","43","206","29","343","Dextral"
"20","944","32","189","28","358","Dextral"
