"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","665","901","194","28","360","Dextral"
"2","919","868","150","26","338","Sinistral"
"3","165","855","197","28","347","Sinistral"
"4","345","832","139","26","349","Dextral"
"5","498","644","186","28","12","Dextral"
"6","135","619","135","25","348","Sinistral"
"7","790","617","187","28","356","Dextral"
"8","654","503","99","23","9","Dextral"
"9","336","469","144","26","351","Sinistral"
"10","897","426","167","27","353","Dextral"
"11","731","332","201","28","2","Sinistral"
"12","47","328","153","26","13","Dextral"
"13","495","301","135","25","9","Sinistral"
"14","938","235","191","28","353","Dextral"
"15","248","207","172","27","353","Sinistral"
"16","577","140","233","29","13","Sinistral"
"17","756","129","173","27","17","Dextral"
"18","79","62","180","27","3","Sinistral"
"19","940","46","198","28","12","Dextral"
"20","436","27","182","28","360","Dextral"
