"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","762","948","169","27","17","Sinistral"
"2","944","943","198","28","4","Dextral"
"3","547","877","171","27","15","Sinistral"
"4","247","839","168","27","359","Dextral"
"5","744","752","110","24","14","Dextral"
"6","75","751","199","28","25","Dextral"
"7","382","691","161","27","346","Dextral"
"8","929","689","140","26","8","Dextral"
"9","656","567","139","26","354","Sinistral"
"10","104","535","180","28","353","Dextral"
"11","445","517","210","29","15","Sinistral"
"12","786","441","116","24","20","Sinistral"
"13","333","372","145","26","1","Dextral"
"14","117","324","190","28","17","Sinistral"
"15","528","300","185","28","12","Sinistral"
"16","838","262","188","28","356","Dextral"
"17","372","114","97","23","354","Dextral"
"18","942","106","134","25","3","Sinistral"
"19","623","86","177","27","19","Sinistral"
"20","78","65","185","28","355","Dextral"
