"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","797","931","170","27","346","Dextral"
"2","25","921","150","26","344","Sinistral"
"3","453","917","211","29","346","Dextral"
"4","259","866","137","25","358","Sinistral"
"5","649","815","91","22","8","Dextral"
"6","884","722","202","28","353","Sinistral"
"7","343","669","153","26","351","Dextral"
"8","33","638","139","25","351","Sinistral"
"9","655","611","119","24","36","Sinistral"
"10","948","549","214","29","13","Dextral"
"11","243","495","182","28","1","Dextral"
"12","596","377","168","27","10","Dextral"
"13","831","376","111","24","341","Sinistral"
"14","52","304","207","29","5","Dextral"
"15","251","294","174","27","33","Sinistral"
"16","462","256","160","27","348","Sinistral"
"17","59","107","132","25","11","Dextral"
"18","855","78","113","24","352","Dextral"
"19","589","71","130","25","358","Sinistral"
"20","365","50","143","26","340","Sinistral"
