"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","31","892","175","27","19","Dextral"
"2","353","892","126","25","24","Dextral"
"3","647","819","139","26","4","Dextral"
"4","892","813","163","27","358","Dextral"
"5","111","733","162","27","1","Dextral"
"6","371","647","119","24","355","Sinistral"
"7","675","641","165","27","335","Sinistral"
"8","94","540","111","24","359","Dextral"
"9","868","470","141","26","18","Dextral"
"10","611","430","163","27","0","Sinistral"
"11","94","361","167","27","20","Dextral"
"12","319","325","162","27","21","Dextral"
"13","940","266","180","27","333","Dextral"
"14","770","210","136","25","347","Dextral"
"15","459","205","156","26","359","Dextral"
"16","183","141","168","27","7","Sinistral"
"17","914","83","181","28","346","Dextral"
"18","31","51","194","28","6","Dextral"
"19","642","45","168","27","8","Dextral"
"20","394","37","152","26","5","Sinistral"
