"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","833","938","168","27","14","Sinistral"
"2","350","887","174","27","12","Sinistral"
"3","83","877","159","27","3","Dextral"
"4","650","877","166","27","17","Dextral"
"5","355","702","165","27","348","Dextral"
"6","865","690","113","24","5","Sinistral"
"7","656","573","145","26","2","Sinistral"
"8","46","570","173","27","343","Sinistral"
"9","345","432","146","26","8","Dextral"
"10","578","414","254","30","4","Dextral"
"11","947","389","209","29","5","Sinistral"
"12","95","314","109","24","359","Sinistral"
"13","776","279","177","27","15","Sinistral"
"14","327","202","192","28","5","Dextral"
"15","519","199","148","26","7","Sinistral"
"16","857","108","140","26","344","Dextral"
"17","616","51","206","29","352","Dextral"
"18","35","40","169","27","360","Dextral"
"19","398","28","230","29","358","Sinistral"
"20","223","28","133","25","348","Dextral"
