"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","449","947","215","29","352","Dextral"
"2","162","921","172","27","9","Sinistral"
"3","855","865","169","27","24","Dextral"
"4","617","837","121","24","15","Dextral"
"5","324","810","147","26","356","Dextral"
"6","26","808","202","28","344","Dextral"
"7","444","676","179","27","2","Sinistral"
"8","104","578","159","27","347","Sinistral"
"9","795","556","131","25","5","Sinistral"
"10","600","499","130","25","5","Dextral"
"11","367","497","168","27","337","Sinistral"
"12","749","356","175","27","352","Dextral"
"13","932","344","174","27","359","Dextral"
"14","248","297","135","25","1","Dextral"
"15","48","282","194","28","18","Sinistral"
"16","574","261","158","26","359","Sinistral"
"17","846","164","134","25","9","Dextral"
"18","172","131","131","25","341","Dextral"
"19","463","88","156","26","1","Dextral"
"20","683","75","171","27","345","Dextral"
