"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","812","947","117","24","0","Dextral"
"2","462","931","186","28","356","Dextral"
"3","641","884","216","29","331","Sinistral"
"4","100","856","147","26","16","Sinistral"
"5","581","718","162","27","8","Sinistral"
"6","382","702","155","26","359","Dextral"
"7","54","648","200","28","349","Dextral"
"8","787","619","130","25","8","Sinistral"
"9","231","612","182","28","348","Dextral"
"10","511","452","152","26","357","Dextral"
"11","113","433","171","27","11","Sinistral"
"12","868","410","171","27","347","Dextral"
"13","282","341","104","23","1","Dextral"
"14","690","338","153","26","319","Sinistral"
"15","477","246","180","28","350","Dextral"
"16","169","207","170","27","6","Sinistral"
"17","698","114","97","23","357","Sinistral"
"18","40","64","222","29","359","Sinistral"
"19","921","57","202","28","354","Sinistral"
"20","466","51","148","26","3","Dextral"
