"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","650","933","159","27","10","Sinistral"
"2","103","923","142","26","4","Sinistral"
"3","842","908","178","27","320","Dextral"
"4","380","897","176","27","356","Dextral"
"5","262","753","118","24","3","Dextral"
"6","907","731","234","29","334","Dextral"
"7","493","701","154","26","11","Dextral"
"8","669","676","151","26","341","Sinistral"
"9","791","539","127","25","9","Dextral"
"10","51","496","159","27","27","Dextral"
"11","417","493","185","28","354","Dextral"
"12","584","407","197","28","1","Sinistral"
"13","282","380","119","24","348","Sinistral"
"14","796","363","175","27","352","Dextral"
"15","43","309","122","25","5","Sinistral"
"16","680","179","113","24","1","Dextral"
"17","874","168","105","23","344","Sinistral"
"18","271","136","170","27","356","Sinistral"
"19","503","133","141","26","353","Sinistral"
"20","58","82","212","29","1","Sinistral"
