"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","253","905","166","27","357","Dextral"
"2","478","872","175","27","6","Dextral"
"3","931","834","168","27","355","Dextral"
"4","80","792","180","27","14","Dextral"
"5","722","787","164","27","22","Sinistral"
"6","581","676","206","29","355","Dextral"
"7","347","640","115","24","21","Dextral"
"8","799","611","161","27","352","Dextral"
"9","556","478","185","28","339","Sinistral"
"10","60","472","126","25","340","Sinistral"
"11","302","460","209","29","330","Sinistral"
"12","794","434","116","24","10","Sinistral"
"13","159","323","205","28","351","Sinistral"
"14","410","276","188","28","355","Sinistral"
"15","600","235","163","27","356","Sinistral"
"16","879","201","170","27","352","Dextral"
"17","72","170","197","28","12","Sinistral"
"18","265","135","176","27","357","Sinistral"
"19","649","49","162","27","359","Sinistral"
"20","425","44","214","29","13","Sinistral"
