"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","375","928","162","27","358","Dextral"
"2","565","927","150","26","351","Sinistral"
"3","126","916","158","26","349","Dextral"
"4","756","841","155","26","341","Sinistral"
"5","25","741","200","28","1","Sinistral"
"6","437","693","123","25","348","Sinistral"
"7","221","693","187","28","356","Sinistral"
"8","662","567","158","27","18","Sinistral"
"9","333","545","143","26","19","Dextral"
"10","63","524","170","27","13","Sinistral"
"11","833","511","128","25","9","Sinistral"
"12","549","389","113","24","16","Sinistral"
"13","328","369","177","27","351","Sinistral"
"14","904","341","143","26","14","Dextral"
"15","96","321","150","26","339","Sinistral"
"16","659","239","135","25","336","Dextral"
"17","304","137","97","23","3","Dextral"
"18","892","102","202","28","359","Sinistral"
"19","57","66","188","28","344","Dextral"
"20","543","61","171","27","340","Dextral"
