"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","579","950","218","29","6","Sinistral"
"2","359","927","147","26","9","Sinistral"
"3","81","899","176","27","343","Dextral"
"4","781","870","209","29","354","Dextral"
"5","936","775","236","30","9","Sinistral"
"6","186","747","123","25","347","Dextral"
"7","533","666","151","26","2","Sinistral"
"8","726","636","135","25","23","Sinistral"
"9","31","622","216","29","3","Sinistral"
"10","927","563","202","28","352","Dextral"
"11","202","560","157","26","334","Dextral"
"12","786","410","170","27","340","Sinistral"
"13","463","398","154","26","13","Sinistral"
"14","70","342","101","23","8","Dextral"
"15","623","327","242","30","342","Dextral"
"16","221","221","125","25","12","Dextral"
"17","595","154","177","27","21","Dextral"
"18","866","154","158","26","351","Sinistral"
"19","350","80","180","27","344","Dextral"
"20","129","46","128","25","359","Sinistral"
