"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","595","924","198","28","345","Sinistral"
"2","53","851","120","24","358","Sinistral"
"3","238","848","134","25","13","Sinistral"
"4","758","825","155","26","344","Sinistral"
"5","935","745","176","27","356","Sinistral"
"6","421","738","146","26","1","Dextral"
"7","600","715","184","28","9","Sinistral"
"8","781","651","184","28","353","Dextral"
"9","265","612","203","28","1","Dextral"
"10","604","473","184","28","354","Dextral"
"11","403","463","156","26","22","Sinistral"
"12","34","449","147","26","16","Sinistral"
"13","948","394","151","26","10","Dextral"
"14","187","275","162","27","16","Dextral"
"15","412","216","164","27","359","Sinistral"
"16","586","176","184","28","7","Dextral"
"17","924","141","223","29","355","Sinistral"
"18","98","104","168","27","11","Dextral"
"19","718","61","130","25","358","Dextral"
"20","330","51","230","29","12","Dextral"
