"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","274","922","143","26","354","Sinistral"
"2","56","920","170","27","353","Sinistral"
"3","638","866","110","24","7","Dextral"
"4","838","779","156","26","356","Sinistral"
"5","537","717","158","27","354","Sinistral"
"6","113","694","168","27","357","Sinistral"
"7","699","614","241","30","10","Dextral"
"8","280","602","136","25","9","Sinistral"
"9","847","481","123","25","10","Dextral"
"10","545","477","91","22","355","Dextral"
"11","26","470","139","26","356","Dextral"
"12","259","424","111","24","26","Dextral"
"13","648","314","196","28","0","Sinistral"
"14","447","295","176","27","2","Dextral"
"15","847","281","101","23","4","Sinistral"
"16","149","234","150","26","19","Sinistral"
"17","615","139","71","20","348","Dextral"
"18","793","94","199","28","359","Dextral"
"19","57","59","192","28","345","Sinistral"
"20","327","30","132","25","3","Sinistral"
