"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","719","925","183","28","353","Dextral"
"2","78","921","178","27","16","Sinistral"
"3","305","906","158","26","3","Dextral"
"4","896","878","173","27","347","Dextral"
"5","514","794","147","26","4","Sinistral"
"6","121","750","113","24","353","Dextral"
"7","327","699","175","27","355","Sinistral"
"8","786","673","137","25","6","Dextral"
"9","947","585","187","28","9","Dextral"
"10","555","563","116","24","40","Dextral"
"11","56","498","164","27","1","Dextral"
"12","340","496","120","24","334","Dextral"
"13","828","406","117","24","351","Dextral"
"14","508","372","147","26","8","Dextral"
"15","113","272","140","26","329","Sinistral"
"16","525","184","129","25","356","Dextral"
"17","854","157","177","27","347","Sinistral"
"18","686","104","145","26","359","Sinistral"
"19","390","56","180","28","1","Dextral"
"20","198","48","147","26","352","Dextral"
