"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","430","945","180","28","352","Dextral"
"2","224","881","107","24","345","Sinistral"
"3","915","878","130","25","357","Dextral"
"4","677","808","166","27","354","Dextral"
"5","454","728","139","26","346","Sinistral"
"6","101","704","178","27","344","Sinistral"
"7","915","697","208","29","20","Dextral"
"8","732","619","158","26","341","Sinistral"
"9","42","524","170","27","355","Sinistral"
"10","563","511","87","22","11","Sinistral"
"11","719","422","228","29","356","Sinistral"
"12","896","389","144","26","14","Dextral"
"13","215","372","99","23","350","Dextral"
"14","475","327","191","28","9","Dextral"
"15","63","274","240","30","13","Sinistral"
"16","676","194","111","24","346","Dextral"
"17","192","149","115","24","353","Dextral"
"18","455","124","138","25","3","Sinistral"
"19","915","27","141","26","8","Sinistral"
"20","31","26","209","29","9","Sinistral"
