"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","673","945","218","29","4","Dextral"
"2","161","919","144","26","340","Sinistral"
"3","882","911","171","27","12","Sinistral"
"4","500","848","184","28","10","Sinistral"
"5","713","747","145","26","5","Dextral"
"6","900","682","192","28","13","Dextral"
"7","197","667","130","25","348","Dextral"
"8","472","621","165","27","8","Sinistral"
"9","710","560","178","27","28","Dextral"
"10","920","462","175","27","6","Dextral"
"11","151","441","192","28","344","Dextral"
"12","457","436","213","29","9","Sinistral"
"13","743","351","112","24","342","Sinistral"
"14","284","308","104","23","360","Sinistral"
"15","67","235","209","29","332","Sinistral"
"16","595","229","167","27","1","Sinistral"
"17","928","183","188","28","348","Dextral"
"18","440","65","156","26","10","Dextral"
"19","82","50","119","24","14","Dextral"
"20","709","47","194","28","1","Dextral"
