"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","733","915","72","21","356","Dextral"
"2","109","914","151","26","356","Dextral"
"3","324","834","151","26","4","Dextral"
"4","902","749","144","26","359","Sinistral"
"5","696","734","208","29","347","Sinistral"
"6","507","715","105","23","31","Dextral"
"7","82","703","206","29","354","Sinistral"
"8","204","567","152","26","331","Sinistral"
"9","642","531","115","24","14","Sinistral"
"10","946","511","172","27","352","Dextral"
"11","393","511","153","26","342","Sinistral"
"12","97","349","132","25","347","Sinistral"
"13","518","324","160","27","4","Sinistral"
"14","283","321","192","28","351","Dextral"
"15","852","310","129","25","355","Dextral"
"16","195","167","180","28","351","Dextral"
"17","409","112","169","27","2","Dextral"
"18","925","103","185","28","333","Dextral"
"19","680","80","149","26","6","Dextral"
"20","57","25","180","27","13","Dextral"
