"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","905","943","135","25","343","Sinistral"
"2","399","939","163","27","334","Dextral"
"3","131","924","175","27","354","Dextral"
"4","665","922","185","28","3","Dextral"
"5","46","767","205","28","1","Sinistral"
"6","801","755","166","27","354","Sinistral"
"7","377","736","132","25","12","Dextral"
"8","566","703","132","25","11","Sinistral"
"9","194","670","159","27","356","Dextral"
"10","749","550","167","27","7","Sinistral"
"11","942","502","225","29","3","Dextral"
"12","318","425","160","27","356","Sinistral"
"13","823","352","159","27","6","Sinistral"
"14","538","322","123","25","349","Sinistral"
"15","61","277","129","25","356","Dextral"
"16","685","197","172","27","352","Sinistral"
"17","324","195","157","26","23","Sinistral"
"18","180","58","171","27","357","Sinistral"
"19","545","49","178","27","2","Sinistral"
"20","789","37","154","26","3","Dextral"
