"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","136","922","192","28","353","Dextral"
"2","823","853","205","28","9","Sinistral"
"3","621","837","167","27","10","Dextral"
"4","268","782","192","28","1","Dextral"
"5","450","751","159","27","352","Dextral"
"6","102","723","155","26","23","Sinistral"
"7","651","580","141","26","342","Dextral"
"8","949","572","111","24","6","Dextral"
"9","47","536","163","27","357","Dextral"
"10","232","526","151","26","16","Sinistral"
"11","493","450","143","26","15","Sinistral"
"12","651","369","180","27","355","Sinistral"
"13","195","337","193","28","1","Dextral"
"14","910","333","163","27","333","Dextral"
"15","415","290","192","28","8","Sinistral"
"16","587","191","225","29","12","Sinistral"
"17","903","132","206","29","26","Sinistral"
"18","56","113","176","27","360","Dextral"
"19","360","98","158","26","352","Dextral"
"20","723","71","138","25","4","Sinistral"
