"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","51","932","197","28","5","Dextral"
"2","809","924","178","27","343","Sinistral"
"3","217","849","155","26","338","Sinistral"
"4","444","829","170","27","358","Sinistral"
"5","706","774","144","26","7","Sinistral"
"6","30","751","140","26","336","Dextral"
"7","916","713","109","24","342","Sinistral"
"8","126","590","123","25","360","Sinistral"
"9","629","583","118","24","16","Sinistral"
"10","314","580","166","27","350","Sinistral"
"11","890","490","154","26","3","Sinistral"
"12","62","415","207","29","11","Sinistral"
"13","745","349","220","29","349","Dextral"
"14","564","328","128","25","353","Sinistral"
"15","318","323","213","29","24","Dextral"
"16","70","221","180","27","355","Dextral"
"17","295","102","163","27","357","Sinistral"
"18","660","73","110","24","354","Dextral"
"19","471","43","147","26","337","Sinistral"
"20","870","28","170","27","2","Sinistral"
