"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","783","899","123","25","13","Dextral"
"2","491","896","148","26","15","Dextral"
"3","186","847","169","27","345","Sinistral"
"4","28","746","180","28","341","Sinistral"
"5","780","723","121","24","356","Sinistral"
"6","390","709","181","28","350","Sinistral"
"7","220","646","135","25","344","Dextral"
"8","940","551","175","27","356","Dextral"
"9","462","523","152","26","19","Dextral"
"10","640","448","97","23","32","Dextral"
"11","63","436","123","25","344","Dextral"
"12","250","412","146","26","358","Sinistral"
"13","946","308","147","26","347","Dextral"
"14","509","273","171","27","349","Sinistral"
"15","108","259","115","24","22","Dextral"
"16","314","223","154","26","353","Dextral"
"17","716","148","138","25","27","Sinistral"
"18","939","97","171","27","4","Dextral"
"19","417","81","169","27","24","Sinistral"
"20","85","53","187","28","18","Dextral"
