"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","528","932","209","29","357","Dextral"
"2","746","917","120","24","351","Sinistral"
"3","265","915","187","28","335","Dextral"
"4","27","803","161","27","358","Dextral"
"5","641","776","158","27","7","Sinistral"
"6","423","769","109","24","11","Sinistral"
"7","871","691","168","27","354","Dextral"
"8","236","642","201","28","10","Dextral"
"9","588","510","136","25","349","Dextral"
"10","779","484","197","28","342","Dextral"
"11","377","468","140","26","352","Sinistral"
"12","34","388","166","27","23","Dextral"
"13","900","340","190","28","331","Dextral"
"14","567","323","180","28","355","Sinistral"
"15","237","223","142","26","3","Sinistral"
"16","789","202","92","22","20","Dextral"
"17","662","58","158","26","351","Dextral"
"18","409","50","167","27","354","Dextral"
"19","923","44","181","28","357","Sinistral"
"20","91","35","182","28","351","Dextral"
