"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","492","942","221","29","3","Sinistral"
"2","72","879","124","25","359","Sinistral"
"3","692","846","132","25","2","Dextral"
"4","943","843","162","27","350","Dextral"
"5","376","806","187","28","3","Sinistral"
"6","810","677","160","27","16","Dextral"
"7","137","656","135","25","347","Sinistral"
"8","414","633","202","28","357","Dextral"
"9","598","550","195","28","354","Sinistral"
"10","75","454","199","28","356","Dextral"
"11","928","405","133","25","351","Sinistral"
"12","249","397","142","26","11","Sinistral"
"13","693","382","191","28","358","Sinistral"
"14","454","271","175","27","359","Dextral"
"15","126","266","192","28","342","Sinistral"
"16","791","217","175","27","353","Sinistral"
"17","590","107","156","26","4","Dextral"
"18","386","87","179","27","359","Sinistral"
"19","937","76","227","29","355","Dextral"
"20","188","53","159","27","0","Sinistral"
