"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","876","946","204","28","352","Dextral"
"2","332","914","168","27","359","Sinistral"
"3","45","847","156","26","347","Dextral"
"4","471","789","137","25","13","Dextral"
"5","800","761","131","25","357","Dextral"
"6","242","738","170","27","338","Sinistral"
"7","636","647","157","26","3","Dextral"
"8","374","538","169","27","346","Sinistral"
"9","942","501","89","22","357","Sinistral"
"10","761","478","237","30","25","Dextral"
"11","50","474","160","27","356","Sinistral"
"12","549","403","100","23","3","Sinistral"
"13","372","361","142","26","341","Sinistral"
"14","40","297","175","27","3","Dextral"
"15","906","270","166","27","9","Sinistral"
"16","251","223","145","26","353","Sinistral"
"17","649","221","186","28","7","Dextral"
"18","485","78","149","26","359","Sinistral"
"19","862","56","179","27","6","Sinistral"
"20","45","51","201","28","9","Sinistral"
