"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","885","926","107","24","9","Dextral"
"2","362","917","162","27","348","Dextral"
"3","108","863","211","29","349","Dextral"
"4","590","841","134","25","328","Dextral"
"5","157","692","160","27","4","Dextral"
"6","493","686","150","26","19","Sinistral"
"7","738","672","122","25","345","Sinistral"
"8","936","637","193","28","10","Sinistral"
"9","361","524","190","28","347","Dextral"
"10","46","516","124","25","18","Dextral"
"11","701","477","184","28","7","Sinistral"
"12","855","351","188","28","348","Sinistral"
"13","100","339","129","25","336","Sinistral"
"14","492","326","207","29","34","Sinistral"
"15","688","273","218","29","360","Dextral"
"16","302","180","180","28","3","Dextral"
"17","849","148","164","27","356","Dextral"
"18","566","142","168","27","6","Dextral"
"19","83","106","149","26","353","Sinistral"
"20","416","42","244","30","360","Dextral"
