"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","673","908","160","27","2","Sinistral"
"2","430","906","121","24","356","Sinistral"
"3","200","876","177","27","347","Sinistral"
"4","851","797","152","26","350","Sinistral"
"5","377","729","180","28","11","Dextral"
"6","91","676","184","28","352","Sinistral"
"7","629","663","194","28","16","Dextral"
"8","235","535","130","25","26","Dextral"
"9","866","520","176","27","0","Dextral"
"10","61","499","166","27","356","Dextral"
"11","693","492","231","29","347","Dextral"
"12","498","440","126","25","358","Sinistral"
"13","315","371","196","28","1","Dextral"
"14","721","316","118","24","354","Dextral"
"15","946","244","139","26","4","Sinistral"
"16","187","221","162","27","345","Sinistral"
"17","494","182","176","27","337","Sinistral"
"18","698","109","205","28","9","Sinistral"
"19","910","43","121","24","357","Dextral"
"20","194","26","220","29","343","Dextral"
