"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","788","949","236","30","14","Sinistral"
"2","246","940","199","28","340","Dextral"
"3","570","914","175","27","4","Dextral"
"4","81","822","145","26","352","Sinistral"
"5","906","812","135","25","16","Sinistral"
"6","426","800","127","25","355","Dextral"
"7","695","785","98","23","18","Dextral"
"8","859","637","147","26","340","Dextral"
"9","182","616","119","24","9","Sinistral"
"10","659","610","156","26","26","Dextral"
"11","418","607","119","24","5","Dextral"
"12","357","418","163","27","354","Sinistral"
"13","889","391","152","26","358","Dextral"
"14","673","370","222","29","28","Sinistral"
"15","230","287","126","25","10","Sinistral"
"16","457","202","159","27","16","Dextral"
"17","946","148","186","28","18","Dextral"
"18","725","141","141","26","356","Sinistral"
"19","266","69","144","26","341","Dextral"
"20","44","33","216","29","6","Sinistral"
