"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","542","928","172","27","359","Dextral"
"2","759","906","162","27","346","Dextral"
"3","25","882","226","29","25","Dextral"
"4","325","867","95","23","357","Sinistral"
"5","162","752","115","24","329","Sinistral"
"6","483","703","188","28","336","Sinistral"
"7","856","682","119","24","357","Dextral"
"8","669","598","175","27","3","Sinistral"
"9","177","575","178","27","5","Sinistral"
"10","400","465","146","26","6","Dextral"
"11","924","417","130","25","351","Dextral"
"12","206","401","131","25","351","Sinistral"
"13","595","398","213","29","360","Sinistral"
"14","28","282","222","29","348","Dextral"
"15","757","268","174","27","354","Dextral"
"16","378","257","169","27","5","Dextral"
"17","234","144","125","25","347","Sinistral"
"18","65","95","206","29","15","Sinistral"
"19","785","90","148","26","358","Sinistral"
"20","506","80","174","27","345","Dextral"
