"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","922","923","181","28","2","Dextral"
"2","262","922","162","27","15","Dextral"
"3","467","907","215","29","2","Sinistral"
"4","738","906","213","29","22","Sinistral"
"5","120","805","148","26","358","Dextral"
"6","590","778","116","24","344","Sinistral"
"7","866","755","206","29","6","Dextral"
"8","360","735","181","28","349","Sinistral"
"9","27","626","225","29","347","Sinistral"
"10","578","590","198","28","23","Sinistral"
"11","756","540","154","26","354","Dextral"
"12","161","505","172","27","345","Sinistral"
"13","502","426","141","26","358","Sinistral"
"14","303","367","195","28","350","Dextral"
"15","114","312","159","27","1","Sinistral"
"16","797","310","186","28","343","Dextral"
"17","393","79","157","26","12","Dextral"
"18","599","76","160","27","2","Dextral"
"19","807","75","127","25","0","Sinistral"
"20","61","75","197","28","359","Sinistral"
