"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","787","931","159","27","9","Dextral"
"2","160","920","131","25","344","Dextral"
"3","523","881","118","24","349","Dextral"
"4","332","879","208","29","356","Sinistral"
"5","55","770","196","28","359","Dextral"
"6","686","737","199","28","6","Sinistral"
"7","915","719","164","27","27","Sinistral"
"8","347","632","119","24","357","Sinistral"
"9","542","616","176","27","344","Sinistral"
"10","760","578","177","27","18","Dextral"
"11","107","556","70","20","1","Sinistral"
"12","942","421","183","28","354","Dextral"
"13","766","400","136","25","0","Sinistral"
"14","425","335","122","25","356","Dextral"
"15","146","296","153","26","11","Dextral"
"16","901","177","136","25","7","Sinistral"
"17","668","159","165","27","5","Sinistral"
"18","281","157","109","24","343","Dextral"
"19","430","28","96","23","14","Dextral"
"20","129","28","195","28","354","Sinistral"
