"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","313","935","224","29","28","Dextral"
"2","748","924","165","27","6","Sinistral"
"3","555","908","218","29","350","Dextral"
"4","945","906","190","28","7","Sinistral"
"5","87","801","137","25","330","Sinistral"
"6","441","773","134","25","2","Dextral"
"7","701","611","134","25","359","Sinistral"
"8","68","583","207","29","352","Sinistral"
"9","253","561","161","27","25","Sinistral"
"10","503","516","130","25","3","Dextral"
"11","918","388","132","25","353","Dextral"
"12","590","335","173","27","349","Sinistral"
"13","181","289","143","26","338","Sinistral"
"14","778","277","197","28","339","Dextral"
"15","400","266","171","27","347","Dextral"
"16","947","168","190","28","18","Sinistral"
"17","599","117","90","22","356","Sinistral"
"18","45","113","166","27","20","Dextral"
"19","264","62","167","27","344","Dextral"
"20","781","60","160","27","6","Sinistral"
