"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","39","929","185","28","360","Sinistral"
"2","710","925","152","26","357","Sinistral"
"3","925","910","190","28","358","Sinistral"
"4","307","879","148","26","22","Dextral"
"5","580","791","176","27","355","Dextral"
"6","797","701","181","28","12","Sinistral"
"7","269","682","103","23","1","Sinistral"
"8","48","681","193","28","20","Dextral"
"9","583","571","182","28","356","Sinistral"
"10","154","517","194","28","345","Dextral"
"11","792","512","204","28","17","Dextral"
"12","341","504","171","27","353","Dextral"
"13","918","387","174","27","5","Dextral"
"14","228","347","152","26","325","Dextral"
"15","671","334","105","23","29","Dextral"
"16","28","205","188","28","344","Sinistral"
"17","430","205","190","28","347","Sinistral"
"18","948","189","215","29","359","Sinistral"
"19","788","62","180","28","2","Dextral"
"20","195","42","194","28","356","Sinistral"
