"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","664","946","162","27","354","Dextral"
"2","85","918","245","30","352","Dextral"
"3","345","905","131","25","353","Sinistral"
"4","899","891","145","26","358","Sinistral"
"5","176","756","155","26","21","Dextral"
"6","773","657","135","25","354","Dextral"
"7","514","647","159","27","357","Sinistral"
"8","52","629","209","29","360","Sinistral"
"9","916","554","191","28","347","Sinistral"
"10","266","516","140","26","13","Dextral"
"11","762","431","156","26","357","Sinistral"
"12","397","376","167","27","354","Dextral"
"13","593","367","154","26","30","Dextral"
"14","98","365","137","25","355","Dextral"
"15","829","260","189","28","348","Dextral"
"16","661","177","163","27","344","Sinistral"
"17","51","152","199","28","3","Sinistral"
"18","421","113","161","27","342","Dextral"
"19","245","96","167","27","8","Sinistral"
"20","825","78","161","27","5","Dextral"
