"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","203","948","141","26","339","Sinistral"
"2","463","943","181","28","10","Sinistral"
"3","686","904","200","28","11","Sinistral"
"4","880","797","142","26","349","Dextral"
"5","302","765","157","26","12","Sinistral"
"6","501","758","151","26","6","Sinistral"
"7","129","701","113","24","4","Sinistral"
"8","711","672","178","27","9","Dextral"
"9","315","574","206","29","1","Dextral"
"10","76","521","132","25","340","Sinistral"
"11","863","499","167","27","349","Dextral"
"12","443","439","112","24","13","Sinistral"
"13","702","338","147","26","0","Dextral"
"14","296","335","184","28","347","Dextral"
"15","898","321","225","29","341","Sinistral"
"16","92","268","161","27","347","Dextral"
"17","612","155","163","27","5","Sinistral"
"18","868","139","155","26","7","Sinistral"
"19","390","78","131","25","16","Sinistral"
"20","51","75","129","25","1","Sinistral"
