"Ammonite_number","X_coordinate","Y_coordinate","Diameter_mm","N_chambers","Aperture_bearing_degrees","Chirality"
"1","198","946","227","29","347","Sinistral"
"2","739","942","200","28","338","Sinistral"
"3","939","898","120","24","356","Dextral"
"4","512","817","130","25","4","Dextral"
"5","309","788","140","26","16","Dextral"
"6","681","767","111","24","3","Sinistral"
"7","910","625","170","27","18","Sinistral"
"8","123","607","161","27","22","Dextral"
"9","492","558","116","24","18","Sinistral"
"10","722","538","155","26","358","Dextral"
"11","285","397","135","25","22","Dextral"
"12","100","335","192","28","353","Dextral"
"13","744","326","142","26","343","Dextral"
"14","400","210","176","27","350","Dextral"
"15","586","209","135","25","15","Sinistral"
"16","27","155","177","27","359","Dextral"
"17","926","123","174","27","343","Dextral"
"18","749","120","207","29","356","Sinistral"
"19","476","36","193","28","10","Sinistral"
"20","209","35","157","26","5","Sinistral"
